SOFTWARE BASICO,Algebra 1,Cálculo B para Computação
Organização de Arquivos,Cálculo 1,Circuitos e Técnicas Digitais
Computação Experimental,Cálculo 2,Sistemas Digitais
INFORMATICA E SOCIEDADE,Fundamentos Teóricos da Computação,Sistemas Operacionais I
Trabalho de Graduação 1,INTRODUCAO A ALGEBRA LINEAR,Grafos
Trabalho de Graduação 2,Lógica Computacional 1,Paradigmas de Programação
CIRCUITOS DIGITAIS,Probabilidade e Estatística,Banco de Dados I
Segurança Computacional,Autômatos e Computabilidade,Sistemas Multimídia
Tecnicas de Programação 1,ESTRUTURAS DE DADOS,|Ciência, Tecnologia e Sociedade|
Tecnicas de Programação 2,Fundamentos de Sistemas Operacionais,Planejamento e Gestão de Projetos
 ,Introdução aos Sistemas Computacionais,Informática e Sociedade
 ,LINGUAGENS DE PROGRAMACAO,Trabalho de Conclusão de Curso II (TCC)
 ,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,Programação Orientada a Objetos II
 ,Projeto e Análise de Algoritmos,Engenharia de Software I
 ,SISTEMAS DE INFORMACAO,Computação Distribuída
 ,Teoria e Aplicação de Grafos,Computação Gráfica
 ,Algoritmos e Programação de Computadores,Redes de Computadores II
 ,BANCOS DE DADOS,Modelagem e Simulação
 ,CALCULO NUMERICO,Segurança em Computação
 ,Compiladores,Banco de Dados II
 ,ENGENHARIA DE SOFTWARE, 
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL, 
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL, 
 ,Metodologia Científica, 
 ,Programação Concorrente, 
 ,Redes de Computadores, 
