Algebra 1,Cálculo 1,Geometria Analítica
Fundamentos Teóricos da Computação,Cálculo 2,Cálculo II
Lógica Computacional 1,INTRODUCAO A ALGEBRA LINEAR,Cálculo IV
SOFTWARE BASICO,Probabilidade e Estatística,|Direito, Legislação e Ética|
INFORMATICA E SOCIEDADE,Computação Experimental,Projeto e Implementação de Sistemas I 12
Trabalho de Graduação 1,ESTRUTURAS DE DADOS,Empreendedorismo
Trabalho de Graduação 2,Fundamentos de Sistemas Operacionais,Dispositivos e Circuitos Eletrônicos
Autômatos e Computabilidade,Introdução aos Sistemas Computacionais,Algoritmos II
Organização de Arquivos,LINGUAGENS DE PROGRAMACAO,Linguagem de Montagem
BANCOS DE DADOS,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,Teoria da Computação e Linguagens Formais
 ,Projeto e Análise de Algoritmos,Sistemas Operacionais II
 ,SISTEMAS DE INFORMACAO,Circuitos Digitais
 ,Teoria e Aplicação de Grafos,Pesquisa Operacional II
 ,Algoritmos e Programação de Computadores,Banco de Dados I
 ,CALCULO NUMERICO,Computação Gráfica
 ,CIRCUITOS DIGITAIS,Banco de Dados II
 ,Compiladores,Engenharia de Software II
 ,ENGENHARIA DE SOFTWARE,Segurança em Sistemas de Informação
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL,Projeto e Implementação de Sistemas II
 ,INTRODUCAO A INTELIGENCIA ARTIFICIAL,Laboratório de Mecânica Aplicada
 ,Metodologia Científica, 
 ,Programação Concorrente, 
 ,Redes de Computadores, 
 ,Segurança Computacional, 
 ,Tecnicas de Programação 1, 
 ,Tecnicas de Programação 2, 
