Laboratório de Mecânica Aplicada,Cálculo I,Fundamentos de Matemática para a Computação
Sistemas Operacionais I,Geometria Analítica,Introdução à Lógica e Verificação de Programas
Projeto e Implementação de Sistemas II,Lógica Computacional,Funções Diferenciáveis e Séries
Metodologia da Pesquisa Científica,Probabilidade e Estatística,Algoritmos e Estruturas de Dados II
|Direito, Legislação e Ética|,Cálculo II,Análise de Algoritmos
Projeto e Implementação de Sistemas I 12,Álgebra Linear,Integração na Universidade e na Profissão
Empreendedorismo,Cálculo IV,Caminhos no Bacharelado em Ciência da Computação
Pesquisa Operacional II,Projeto de Redes de Computadores,Língua Portuguesa
Computação Gráfica,Algoritmos I,Modelagem e Simulação
Inteligência Artificial,Algoritmos II, 
Banco de Dados II,Linguagem de Montagem, 
Redes de Computadores,Laboratório de Circuitos Digitais, 
Segurança em Sistemas de Informação,Teoria da Computação e Linguagens Formais, 
Dispositivos e Circuitos Eletrônicos,Administração de Sistemas de Informação, 
 ,Sistemas Operacionais II, 
 ,Fundamentos de Computação, 
 ,Circuitos Digitais, 
 ,Pesquisa Operacional I, 
 ,Estruturas de Dados II, 
 ,Compiladores, 
 ,Banco de Dados I, 
 ,Engenharia de Software I, 
 ,Microcontroladores, 
 ,Engenharia de Software II, 
