Probabilidade e Estatística,Cálculo I,CALCULO A VARIAS VARIAVEIS I
Sistemas Operacionais I,Geometria Analítica,PROBABILIDADE E ESTATISTICA
Projeto e Implementação de Sistemas II,Lógica Computacional,EQUACOES DIFER E DE DIFERENCAS
Metodologia da Pesquisa Científica,Cálculo II,ESTRUTURAS DISCRETAS
Laboratório de Circuitos Digitais,Álgebra Linear,LAB DE MECANICA NEWTONIANA
|Direito, Legislação e Ética|,Cálculo IV,LING FORMAIS E AUTOMATOS
Projeto e Implementação de Sistemas I 12,Laboratório de Mecânica Aplicada,SEMANTICA DE LINGUAGENS
Empreendedorismo,Projeto de Redes de Computadores,ANALISE DE ALGORITMOS
Circuitos Digitais,Algoritmos I,COMPUTABILIDADE
Computação Gráfica,Algoritmos II,LOGICA PARA COMPUTACAO
Inteligência Artificial,Linguagem de Montagem,O HUMANO E O FENOM RELIGIOSO
Banco de Dados II,Teoria da Computação e Linguagens Formais,ETICA CRISTA
Segurança em Sistemas de Informação,Administração de Sistemas de Informação,ETICA SOCIOAMBIENT DIR HUMANOS
Dispositivos e Circuitos Eletrônicos,Sistemas Operacionais II,INTR INT HUMANO-COMPUTADOR
 ,Fundamentos de Computação,MODELAGEM DE DADOS
 ,Pesquisa Operacional I,PROGRAMACAO MODULAR
 ,Estruturas de Dados II,ENGENHARIA DE REQUISITOS
 ,Pesquisa Operacional II,COMPILADORES
 ,Compiladores,INTELIGENCIA ARTIFICIAL
 ,Banco de Dados I, 
 ,Engenharia de Software I, 
 ,Microcontroladores, 
 ,Engenharia de Software II, 
 ,Redes de Computadores, 
