Lógica Computacional,Cálculo I,Matemática Discreta (CC)
Laboratório de Mecânica Aplicada,Geometria Analítica,Lógica para Computação
Sistemas Operacionais I,Probabilidade e Estatística,Fundamentos do Raciocínio Lógico
Laboratório de Circuitos Digitais,Cálculo II,Matemática Concreta
Teoria da Computação e Linguagens Formais,Álgebra Linear,Algoritmos e Estrutura de Dados II
|Direito, Legislação e Ética|,Cálculo IV,Linguagens Formais e Autômatos
Circuitos Digitais,Projeto de Redes de Computadores,Programação Funcional
Pesquisa Operacional II,Projeto e Implementação de Sistemas II,Teoria da Computabilidade e Complexidade
Dispositivos e Circuitos Eletrônicos,Algoritmos I,Disciplina Integradora I (Lógica e Programação)
 ,Metodologia da Pesquisa Científica,Projeto e Otimização de Algoritmos
 ,Algoritmos II,Métodos Formais para Computação
 ,Linguagem de Montagem,Engenharia de Software Orientada a Modelos
 ,Administração de Sistemas de Informação,Metodologia Científica e Escrita para Computação
 ,Sistemas Operacionais II,Humanismo e Cultura Religiosa
 ,Projeto e Implementação de Sistemas I 12,Ética e Filosofia da Ciência
 ,Empreendedorismo,Programação de Baixo Nível
 ,Fundamentos de Computação,Modelos para Computação Concorrente
 ,Pesquisa Operacional I,Métodos Numéricos
 ,Estruturas de Dados II,Disciplina Integradora III (Especificação e Construção de Sistemas)
 ,Compiladores,Fundamentos de Inteligência Artificial
 ,Banco de Dados I,Laboratório de Sistemas Operacionais
 ,Engenharia de Software I,Interpretação de Linguagens de Programação
 ,Microcontroladores,Laboratório de Redes de Computadores
 ,Computação Gráfica,Computação Paralela
 ,Inteligência Artificial,Projeto e Implementação de Sistemas Interativos
 ,Banco de Dados II,Construção de Compiladores
 ,Engenharia de Software II,Simulação e Métodos Analíticos
 ,Redes de Computadores,Redes de Computadores Avançada
 ,Segurança em Sistemas de Informação,Projeto e Desenvolvimento de Jogos
 , ,Sistemas Distribuídos
 , ,Disciplina Integradora IV - Trabalho de Conclusão
