Laboratório de Mecânica Aplicada,Cálculo I,LÓGICA MATEMÁTICA
Projeto de Redes de Computadores,Geometria Analítica,PROGRAMAÇÃO DE COMPUTADORES 2 CN
Projeto e Implementação de Sistemas II,Lógica Computacional,TEORIA DOS GRAFOS
Metodologia da Pesquisa Científica,Probabilidade e Estatística,ANÁLISE E PROJETO DE ALGORITMOS
Segurança em Sistemas de Informação,Cálculo II,SISTEMAS OPERACIONAIS 1
Dispositivos e Circuitos Eletrônicos,Álgebra Linear,LINGUAGENS FORMAIS E AUTÔMATOS
 ,Cálculo IV,TEORIA DA COMPUTAÇÃO
 ,Sistemas Operacionais I,TÓPICOS 1
 ,Algoritmos I,COMPUTADOR E SOCIEDADE
 ,Algoritmos II,TÓPICOS 2
 ,Linguagem de Montagem,BANCO DE DADOS
 ,Laboratório de Circuitos Digitais,REDES DE COMPUTADORES 1
 ,Teoria da Computação e Linguagens Formais,REDES DE COMPUTADORES 2
 ,Administração de Sistemas de Informação,SISTEMAS DISTRIBUÍDOS
 ,Sistemas Operacionais II,PROJETO FINAL DE CURSO 1
 ,|Direito, Legislação e Ética|,MULTIMÍDIA
 ,Projeto e Implementação de Sistemas I 12,PROJETO FINAL DE CURSO 2
 ,Empreendedorismo,SEGURANÇA E AUDITORIA DE SISTEMAS
 ,Fundamentos de Computação, 
 ,Circuitos Digitais, 
 ,Pesquisa Operacional I, 
 ,Estruturas de Dados II, 
 ,Pesquisa Operacional II, 
 ,Compiladores, 
 ,Banco de Dados I, 
 ,Engenharia de Software I, 
 ,Microcontroladores, 
 ,Computação Gráfica, 
 ,Inteligência Artificial, 
 ,Banco de Dados II, 
 ,Engenharia de Software II, 
 ,Redes de Computadores, 
