Geometria Analítica,Cálculo I,MATEMAT DISCRETA P/COMPUTACAO
Laboratório de Mecânica Aplicada,Lógica Computacional,ALGORITMOS E ESTRUTURAS DE DADOS
Sistemas Operacionais I,Probabilidade e Estatística,FISICA PARA COMPUTACAO
Projeto e Implementação de Sistemas II,Cálculo II,INFORMATICA TEORICA
Linguagem de Montagem,Álgebra Linear,PARADIGMAS LING.COMPUTACIONAIS
Laboratório de Circuitos Digitais,Cálculo IV,INFORMATICA E SOCIEDADE
Teoria da Computação e Linguagens Formais,Projeto de Redes de Computadores,INGLES PARA COMPUTACAO
|Direito, Legislação e Ética|,Algoritmos I,HISTORIA E FUTURO DA COMPUTACAO
Projeto e Implementação de Sistemas I 12,Metodologia da Pesquisa Científica,INTRODUCAO A COMPUTACAO
Empreendedorismo,Algoritmos II,INTRODUÇÃO A MULTIMIDIA
Pesquisa Operacional I,Administração de Sistemas de Informação,PROJETO DE DESENVOLVIMENTO
Pesquisa Operacional II,Sistemas Operacionais II,ALGEBRA VET LINEAR P/COMPUTACAO
Computação Gráfica,Fundamentos de Computação, 
Dispositivos e Circuitos Eletrônicos,Circuitos Digitais, 
 ,Estruturas de Dados II, 
 ,Compiladores, 
 ,Banco de Dados I, 
 ,Engenharia de Software I, 
 ,Microcontroladores, 
 ,Inteligência Artificial, 
 ,Banco de Dados II, 
 ,Engenharia de Software II, 
 ,Redes de Computadores, 
 ,Segurança em Sistemas de Informação, 
