|Direito, Legislação e Ética|,Cálculo I,LÓGICA PARA COMPUTAÇÃO
Projeto e Implementação de Sistemas I 12,Geometria Analítica,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA
Empreendedorismo,Lógica Computacional,SEMÂNTICA FORMAL N
Dispositivos e Circuitos Eletrônicos,Probabilidade e Estatística,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS
Metodologia da Pesquisa Científica,Cálculo II,EMPREENDIMENTO EM INFORMÁTICA
Microcontroladores,Álgebra Linear,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES II
Laboratório de Mecânica Aplicada,Cálculo IV,CLASSIFICAÇÃO E PESQUISA DE DADOS
Sistemas Operacionais I,Algoritmos I,LINGUAGENS FORMAIS E AUTÔMATOS N
Projeto de Redes de Computadores,Algoritmos II,TEORIA DA COMPUTAÇÃO N
 ,Linguagem de Montagem,COMPLEXIDADE DE ALGORITMOS - B
 ,Laboratório de Circuitos Digitais,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS
 ,Teoria da Computação e Linguagens Formais,ORGANIZAÇÃO DE COMPUTADORES B
 ,Administração de Sistemas de Informação,MODELOS DE LINGUAGEM DE PROGRAMAÇÃO
 ,Sistemas Operacionais II,COMPILADORES
 ,Fundamentos de Computação,FUNDAMENTOS DE TOLERÂNCIA A FALHAS
 ,Circuitos Digitais,INTERAÇÃO HOMEM-COMPUTADOR
 ,Pesquisa Operacional I,SISTEMAS OPERACIONAIS II N
 ,Estruturas de Dados II, 
 ,Pesquisa Operacional II, 
 ,Compiladores, 
 ,Banco de Dados I, 
 ,Engenharia de Software I, 
 ,Computação Gráfica, 
 ,Inteligência Artificial, 
 ,Banco de Dados II, 
 ,Engenharia de Software II, 
 ,Redes de Computadores, 
 ,Segurança em Sistemas de Informação, 
 ,Projeto e Implementação de Sistemas II, 
