Laboratório de Mecânica Aplicada,Cálculo I,Álgebra Linear
Sistemas Operacionais I,Geometria Analítica,Sistemas Digitais
Teoria da Computação e Linguagens Formais,Lógica Computacional,Sistemas Operacionais I
Empreendedorismo,Probabilidade e Estatística,Grafos
Pesquisa Operacional II,Cálculo II,Teoria da Computação
Dispositivos e Circuitos Eletrônicos,Álgebra Linear,Paradigmas de Programação
 ,Cálculo IV,Linguagens Formais e Compiladores
 ,Projeto de Redes de Computadores,Sistemas Multimídia
 ,Projeto e Implementação de Sistemas II,|Ciência, Tecnologia e Sociedade|
 ,Algoritmos I,Planejamento e Gestão de Projetos
 ,Metodologia da Pesquisa Científica,Trabalho de Conclusão de Curso II (TCC)
 ,Algoritmos II,Programação Concorrente
 ,Linguagem de Montagem,Redes de Computadores I
 ,Laboratório de Circuitos Digitais,Engenharia de Software I
 ,Administração de Sistemas de Informação,Computação Distribuída
 ,Sistemas Operacionais II,Banco de Dados I
 ,|Direito, Legislação e Ética|,Modelagem e Simulação
 ,Projeto e Implementação de Sistemas I 12, 
 ,Fundamentos de Computação, 
 ,Circuitos Digitais, 
 ,Pesquisa Operacional I, 
 ,Estruturas de Dados II, 
 ,Compiladores, 
 ,Banco de Dados I, 
 ,Engenharia de Software I, 
 ,Microcontroladores, 
 ,Computação Gráfica, 
 ,Inteligência Artificial, 
 ,Banco de Dados II, 
 ,Engenharia de Software II, 
 ,Redes de Computadores, 
 ,Segurança em Sistemas de Informação, 
