Geometria Analítica e Álgebra Linear,Cáculo I,LOGICA PARA COMPUTACAO
Lógica Matemática,Matemática Discreta,INFORMATICA E SOCIEDADE
Seminários I,Estatística,INGLES PARA COMPUTACAO
Governança e Planejamento Estratégico de TI,Administração da Produção,HISTORIA E FUTURO DA COMPUTACAO
Seminários II,Programação para Dispositivos Móveis,METODOL EXPRESSAO TEC-CIENTIFICA
Empreendedorismo e Inovação,Trabalho de Conclusão de Curso II,ALGEBRA VET LINEAR P/COMPUTACAO
Estágio em Computação I,Algoritmos e Programação de Computadores I,ALGORITMOS E ESTRUTURAS DE DADOS
Estágio em Computação II,Estruturas de Dados I,FISICA PARA COMPUTACAO
Administração de Empresas,Programação Orientada a Objetos I,INFORMATICA TEORICA
Fundamentos de Sistemas de Informação,Análise de Sistemas de Informação I,PARADIGMAS LING.COMPUTACIONAIS
Algoritmos e Programação de Computadores II,Programação Orientada a Objetos II,INTRODUCAO A COMPUTACAO
Economia e Finanças,Banco de Dados II,INTRODUÇÃO A MULTIMIDIA
Teoria Geral de Sistemas,Organização e Arquitetura de Computadores,TEO.IMPLEMEN.LING. COMPUTACIONAIS
Análise de Sistemas de Informação II,Sistemas Operacionais, 
Metodologia do Trabalho Científico,Engenharia de Software II, 
Gestão de Projetos,Introdução a Interfaces Humano-Computador, 
Programação para a Web,Introdução a Multimídia, 
Trabalho de Conclusão de Curso I,Inteligência Artificial, 
Cálculo Numérico,Introdução a Auditoria e Segurança de Sistemas de Informação, 
Estruturas de Arquivos,Engenharia de Software I, 
Sistemas de Apoio à Decisão,Banco de Dados I, 
 ,Redes de Comunicação I, 
