Estatística,Cáculo I,Geometria Analítica I
Administração da Produção,Geometria Analítica e Álgebra Linear,Cálculo Diferencial e Integral II
Programação para Dispositivos Móveis,Lógica Matemática,Introdução a Álbebra
Governança e Planejamento Estratégico de TI,Matemática Discreta,Projetos Digitais e Microprocessadores
Seminários II,Seminários I,Algoritmos e Estruturas de Dados II
Empreendedorismo e Inovação,Estágio em Computação I,Organização e Arquitetura de Computadores
Administração de Empresas,Estágio em Computação II,Software Básico
Metodologia do Trabalho Científico,Trabalho de Conclusão de Curso II,Introdução à Teoria da Computação
Programação para a Web,Algoritmos e Programação de Computadores I,Introdução a Teoria Geral da Administração
Introdução a Interfaces Humano-Computador,Fundamentos de Sistemas de Informação,Análise de Algoritmos
Trabalho de Conclusão de Curso I,Algoritmos e Programação de Computadores II,Introdução à Computação Científica
 ,Estruturas de Dados I,Redes de Computadores II
 ,Economia e Finanças,Construção de Compiladores
 ,Programação Orientada a Objetos I, 
 ,Análise de Sistemas de Informação I, 
 ,Teoria Geral de Sistemas, 
 ,Programação Orientada a Objetos II, 
 ,Análise de Sistemas de Informação II, 
 ,Banco de Dados II, 
 ,Gestão de Projetos, 
 ,Organização e Arquitetura de Computadores, 
 ,Sistemas Operacionais, 
 ,Engenharia de Software II, 
 ,Introdução a Multimídia, 
 ,Inteligência Artificial, 
 ,Introdução a Auditoria e Segurança de Sistemas de Informação, 
 ,Engenharia de Software I, 
 ,Cálculo Numérico, 
 ,Estruturas de Arquivos, 
 ,Banco de Dados I, 
 ,Redes de Comunicação I, 
 ,Sistemas de Apoio à Decisão, 
