Lógica Matemática,Cáculo I,Algebra 1
Seminários I,Geometria Analítica e Álgebra Linear,Lógica Computacional 1
Programação para Dispositivos Móveis,Matemática Discreta,SOFTWARE BASICO
Governança e Planejamento Estratégico de TI,Estatística,INFORMATICA E SOCIEDADE
Seminários II,Administração da Produção,Trabalho de Graduação 1
Empreendedorismo e Inovação,Estágio em Computação I,Trabalho de Graduação 2
Administração de Empresas,Estágio em Computação II,Autômatos e Computabilidade
Algoritmos e Programação de Computadores II,Trabalho de Conclusão de Curso II,Organização de Arquivos
Economia e Finanças,Algoritmos e Programação de Computadores I,Projeto e Análise de Algoritmos
Análise de Sistemas de Informação I,Fundamentos de Sistemas de Informação,BANCOS DE DADOS
Gestão de Projetos,Estruturas de Dados I,CALCULO NUMERICO
Programação para a Web,Programação Orientada a Objetos I,CIRCUITOS DIGITAIS
Introdução a Interfaces Humano-Computador,Teoria Geral de Sistemas,Compiladores
Introdução a Auditoria e Segurança de Sistemas de Informação,Programação Orientada a Objetos II,INTRODUCAO A INTELIGENCIA ARTIFICIAL
Trabalho de Conclusão de Curso I,Análise de Sistemas de Informação II,Segurança Computacional
Engenharia de Software I,Metodologia do Trabalho Científico,Tecnicas de Programação 1
Estruturas de Arquivos,Banco de Dados II,Tecnicas de Programação 2
 ,Organização e Arquitetura de Computadores, 
 ,Sistemas Operacionais, 
 ,Engenharia de Software II, 
 ,Introdução a Multimídia, 
 ,Inteligência Artificial, 
 ,Cálculo Numérico, 
 ,Banco de Dados I, 
 ,Redes de Comunicação I, 
 ,Sistemas de Apoio à Decisão, 
