Seminários I,Cáculo I,Geometria Analítica
Administração da Produção,Geometria Analítica e Álgebra Linear,Cálculo II
Governança e Planejamento Estratégico de TI,Lógica Matemática,Cálculo IV
Seminários II,Matemática Discreta,|Direito, Legislação e Ética|
Empreendedorismo e Inovação,Estatística,Empreendedorismo
Administração de Empresas,Programação para Dispositivos Móveis,Dispositivos e Circuitos Eletrônicos
Economia e Finanças,Estágio em Computação I,Algoritmos I
Teoria Geral de Sistemas,Estágio em Computação II,Laboratório de Circuitos Digitais
Programação para a Web,Trabalho de Conclusão de Curso II,Teoria da Computação e Linguagens Formais
Introdução a Interfaces Humano-Computador,Algoritmos e Programação de Computadores I,Circuitos Digitais
Estruturas de Arquivos,Fundamentos de Sistemas de Informação,Pesquisa Operacional II
Redes de Comunicação I,Algoritmos e Programação de Computadores II,Compiladores
Sistemas de Apoio à Decisão,Estruturas de Dados I,Microcontroladores
 ,Programação Orientada a Objetos I,Computação Gráfica
 ,Análise de Sistemas de Informação I,Banco de Dados II
 ,Programação Orientada a Objetos II,Engenharia de Software II
 ,Análise de Sistemas de Informação II,Redes de Computadores
 ,Metodologia do Trabalho Científico,Projeto e Implementação de Sistemas II
 ,Banco de Dados II,Laboratório de Mecânica Aplicada
 ,Gestão de Projetos,Sistemas Operacionais I
 ,Organização e Arquitetura de Computadores,Projeto de Redes de Computadores
 ,Sistemas Operacionais, 
 ,Engenharia de Software II, 
 ,Introdução a Multimídia, 
 ,Inteligência Artificial, 
 ,Introdução a Auditoria e Segurança de Sistemas de Informação, 
 ,Trabalho de Conclusão de Curso I, 
 ,Engenharia de Software I, 
 ,Cálculo Numérico, 
 ,Banco de Dados I, 
